mean_EffectiveCoordination
max_NeighDiff_shell1_NpUnfilled
range_NeighDiff_shell1_NpUnfilled
mean_NeighDiff_shell1_NdUnfilled
var_NeighDiff_shell1_NdUnfilled
min_NeighDiff_shell1_NdUnfilled
max_NeighDiff_shell1_NdUnfilled
range_NeighDiff_shell1_NdUnfilled
mean_NeighDiff_shell1_NfUnfilled
var_NeighDiff_shell1_NfUnfilled
min_NeighDiff_shell1_NfUnfilled
max_NeighDiff_shell1_NfUnfilled
range_NeighDiff_shell1_NfUnfilled
mean_NeighDiff_shell1_NUnfilled
var_NeighDiff_shell1_NUnfilled
min_NeighDiff_shell1_NUnfilled
max_NeighDiff_shell1_NUnfilled
range_NeighDiff_shell1_NUnfilled
mean_NeighDiff_shell1_GSvolume_pa
var_NeighDiff_shell1_GSvolume_pa
min_NeighDiff_shell1_GSvolume_pa
max_NeighDiff_shell1_GSvolume_pa
range_NeighDiff_shell1_GSvolume_pa
mean_NeighDiff_shell1_GSbandgap
var_NeighDiff_shell1_GSbandgap
min_NeighDiff_shell1_GSbandgap
max_NeighDiff_shell1_GSbandgap
range_NeighDiff_shell1_GSbandgap
mean_NeighDiff_shell1_GSmagmom
var_NeighDiff_shell1_GSmagmom
min_NeighDiff_shell1_GSmagmom
max_NeighDiff_shell1_GSmagmom
range_NeighDiff_shell1_GSmagmom
mean_NeighDiff_shell1_SpaceGroupNumber
var_NeighDiff_shell1_SpaceGroupNumber
min_NeighDiff_shell1_SpaceGroupNumber
max_NeighDiff_shell1_SpaceGroupNumber
range_NeighDiff_shell1_SpaceGroupNumber
NComp
Comp_L2Norm
Comp_L3Norm
Comp_L5Norm
Comp_L7Norm
Comp_L10Norm
mean_Number
maxdiff_Number
dev_Number
max_Number
min_Number
most_Number
mean_MendeleevNumber
maxdiff_MendeleevNumber
dev_MendeleevNumber
max_MendeleevNumber
min_MendeleevNumber
most_MendeleevNumber
mean_AtomicWeight
maxdiff_AtomicWeight
dev_AtomicWeight
max_AtomicWeight
min_AtomicWeight
most_AtomicWeight
mean_MeltingT
maxdiff_MeltingT
dev_MeltingT
max_MeltingT
min_MeltingT
most_MeltingT
mean_Column
maxdiff_Column
dev_Column
max_Column
min_Column
most_Column
mean_Row
maxdiff_Row
dev_Row
max_Row
min_Row
most_Row
mean_CovalentRadius
maxdiff_CovalentRadius
dev_CovalentRadius
max_CovalentRadius
min_CovalentRadius
most_CovalentRadius
mean_Electronegativity
maxdiff_Electronegativity
dev_Electronegativity
max_Electronegativity
min_Electronegativity
most_Electronegativity
mean_NsValence
maxdiff_NsValence
dev_NsValence
max_NsValence
min_NsValence
most_NsValence
mean_NpValence
maxdiff_NpValence
dev_NpValence
max_NpValence
min_NpValence
most_NpValence
mean_NdValence
maxdiff_NdValence
dev_NdValence
max_NdValence
min_NdValence
most_NdValence
mean_NfValence
maxdiff_NfValence
dev_NfValence
max_NfValence
min_NfValence
most_NfValence
mean_NValance
maxdiff_NValance
dev_NValance
max_NValance
min_NValance
most_NValance
mean_NsUnfilled
maxdiff_NsUnfilled
dev_NsUnfilled
max_NsUnfilled
min_NsUnfilled
most_NsUnfilled
mean_NpUnfilled
maxdiff_NpUnfilled
dev_NpUnfilled
max_NpUnfilled
min_NpUnfilled
most_NpUnfilled
mean_NdUnfilled
maxdiff_NdUnfilled
dev_NdUnfilled
max_NdUnfilled
min_NdUnfilled
most_NdUnfilled
mean_NfUnfilled
maxdiff_NfUnfilled
dev_NfUnfilled
max_NfUnfilled
min_NfUnfilled
most_NfUnfilled
mean_NUnfilled
maxdiff_NUnfilled
dev_NUnfilled
max_NUnfilled
min_NUnfilled
most_NUnfilled
mean_GSvolume_pa
maxdiff_GSvolume_pa
dev_GSvolume_pa
max_GSvolume_pa
min_GSvolume_pa
most_GSvolume_pa
mean_GSbandgap
maxdiff_GSbandgap
dev_GSbandgap
max_GSbandgap
min_GSbandgap
most_GSbandgap
mean_GSmagmom
maxdiff_GSmagmom
dev_GSmagmom
max_GSmagmom
min_GSmagmom
most_GSmagmom
mean_SpaceGroupNumber
maxdiff_SpaceGroupNumber
dev_SpaceGroupNumber
max_SpaceGroupNumber
min_SpaceGroupNumber
most_SpaceGroupNumber
frac_sValence
frac_pValence
frac_dValence
frac_fValence
CanFormIonic
MaxIonicChar
MeanIonicChar
